CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1856 – 1900), Diarrhoea and Dysentery, 1856, 34
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1856 – 1900), Diarrhoea and Dysentery, 1857, 24
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1856 – 1900), Diarrhoea and Dysentery, 1858, 21
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1856 – 1900), Diarrhoea and Dysentery, 1859, 37
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1856 – 1900), Diarrhoea and Dysentery, 1860, 16
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1856 – 1900), Diarrhoea and Dysentery, 1861, 35
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1856 – 1900), Diarrhoea and Dysentery, 1862, 18
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1856 – 1900), Diarrhoea and Dysentery, 1863, 29
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1856 – 1900), Diarrhoea and Dysentery, 1864, 20
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1856 – 1900), Diarrhoea and Dysentery, 1865, 19
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1856 – 1900), Diarrhoea and Dysentery, 1866, 32
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1856 – 1900), Diarrhoea and Dysentery, 1867, 22
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1856 – 1900), Diarrhoea and Dysentery, 1868, 36
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1856 – 1900), Diarrhoea and Dysentery, 1869, 31
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1856 – 1900), Diarrhoea and Dysentery, 1870, 47
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1856 – 1900), Diarrhoea and Dysentery, 1871, 40
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1856 – 1900), Diarrhoea and Dysentery, 1872, 43
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1856 – 1900), Diarrhoea and Dysentery, 1873, 35
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1856 – 1900), Diarrhoea and Dysentery, 1874, 41
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1856 – 1900), Diarrhoea and Dysentery, 1875, 43
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1856 – 1900), Diarrhoea and Dysentery, 1876, 59
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1856 – 1900), Diarrhoea and Dysentery, 1877, 37
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1856 – 1900), Diarrhoea and Dysentery, 1878, 70
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1856 – 1900), Diarrhoea and Dysentery, 1879, 34
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1856 – 1900), Diarrhoea and Dysentery, 1880, 50
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1856 – 1900), Diarrhoea and Dysentery, 1881, 22
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1856 – 1900), Diarrhoea and Dysentery, 1882, 30
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1856 – 1900), Diarrhoea and Dysentery, 1883, 28
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1856 – 1900), Diarrhoea and Dysentery, 1884, 34
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1856 – 1900), Diarrhoea and Dysentery, 1885, 33
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1856 – 1900), Diarrhoea and Dysentery, 1886, 31
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1856 – 1900), Diarrhoea and Dysentery, 1887, 32
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1856 – 1900), Diarrhoea and Dysentery, 1888, 25
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1856 – 1900), Diarrhoea and Dysentery, 1889, 37
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1856 – 1900), Diarrhoea and Dysentery, 1890, 33
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1856 – 1900), Diarrhoea and Dysentery, 1891, 20
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1856 – 1900), Diarrhoea and Dysentery, 1892, 28
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1856 – 1900), Diarrhoea and Dysentery, 1893, 32
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1856 – 1900), Diarrhoea and Dysentery, 1894, 20
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1856 – 1900), Diarrhoea and Dysentery, 1895, 48
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1856 – 1900), Diarrhoea and Dysentery, 1896, 30
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1856 – 1900), Diarrhoea and Dysentery, 1897, 58
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1856 – 1900), Diarrhoea and Dysentery, 1898, 73
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1856 – 1900), Diarrhoea and Dysentery, 1899, 10
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1856 – 1900), Diarrhoea and Dysentery, 1900, 2
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1856 – 1900), Tuberculosis (all forms), 1856, 73
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1856 – 1900), Tuberculosis (all forms), 1857, 93
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1856 – 1900), Tuberculosis (all forms), 1858, 82
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1856 – 1900), Tuberculosis (all forms), 1859, 80
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1856 – 1900), Tuberculosis (all forms), 1860, 79
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1856 – 1900), Tuberculosis (all forms), 1861, 77
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1856 – 1900), Tuberculosis (all forms), 1862, 64
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1856 – 1900), Tuberculosis (all forms), 1863, 70
CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1856 – 1900), Tuberculosis (all forms), 1864, 86
