Table 8 [9]:
"TABLE 8"
"CAUSE OF DEATH  IN BEDMINSTER UNION AND REGISTRATION DISTRICT (1856 – 1900)"

,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"Diarrhoea and Dysentery",34,24,21,37,16,35,18,29,20,19,32,22,36,31,47,40,43,35,41,43,59,37,70,34,50,22,30,28,34,33,31,32,25,37,33,20,28,32,20,48,30,58,73,10,2,"Diarrhoea and Dysentery"
"Tuberculosis (all forms)",73,93,82,80,79,77,64,70,86,94,99,97,81,72,101,90,116,91,92,85,90,113,97,93,83,124,137,155,134,154,154,122,154,148,156,148,138,149,148,144,115,126,129,27,26,"Tuberculosis (all forms)"
"Whooping Cough",16,25,21,16,10,20,21,46,10,6,30,23,20,9,19,19,47,29,16,30,21,49,39,75,39,15,67,13,10,60,36,34,17,28,49,39,47,39,76,12,39,58,33,6,2,"Whooping Cough"
"Scarlet Fever",3,9,123,61,10,3,20,132,35,15,5,3,7,60,126,92,10,16,10,101,86,14,9,75,104,20,25,18,27,17,1,25,4,3,7,5,17,11,8,9,37,15,10,0,0,"Scarlet Fever"
"Measles",3,23,16,9,2,92,3,4,27,7,24,3,6,28,35,3,29,23,17,20,35,34,19,10,36,14,28,2,11,32,23,45,13,74,10,148,30,16,46,0,70,41,43,1,5,"Measles"
"Erysipelas",3,0,4,4,7,4,5,6,2,5,3,5,1,7,7,8,4,8,7,6,4,2,4,3,3,"n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","Erysipelas"
"Typhus Fever",36,22,32,24,29,31,33,40,39,38,23,34,37,1,3,5,1,2,2,1,2,4,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Typhus Fever"
"Diphtheria (and Croup)","n/g","n/g","n/g",6,6,1,6,13,2,7,2,2,6,11,10,3,3,5,9,16,7,3,1,6,3,7,7,3,4,4,3,7,4,4,6,17,20,23,19,10,19,11,10,1,12,"Diphtheria (and Croup)"
"Typhoid (enteric) Fever","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g",15,16,22,15,23,23,15,25,32,16,10,14,8,6,12,15,10,7,12,15,13,7,6,11,6,9,8,5,6,6,1,1,"Typhoid (enteric) Fever"
"Smallpox",0,1,49,0,0,0,0,19,48,9,0,1,0,0,1,39,29,2,6,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,4,5,0,3,0,0,0,0,"Smallpox"
"Cholera",0,2,0,0,0,0,0,0,0,0,24,0,1,1,2,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,"Cholera"
"Other Infectious & parasitic diseases","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g",14,12,24,15,33,8,8,10,8,14,3,2,4,1,4,2,3,3,1,1,0,1,2,1,0,0,0,0,0,0,0,0,"Other Infectious & parasitic diseases"
"Cancer","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g",40,36,28,39,39,39,30,51,51,64,49,49,46,76,73,56,59,59,18,22,"Cancer"
"Nervous System Diseases","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g",162,186,175,187,169,179,194,165,162,193,179,185,167,157,173,142,181,164,54,35,"Nervous System Diseases"
"Circulatory System Diseases","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g",92,90,103,87,103,113,117,123,124,123,129,127,131,103,111,101,110,124,41,54,"Circulatory System Diseases"
"Influenza",2,2,3,2,4,0,2,1,2,1,1,0,1,1,0,2,2,0,0,2,0,0,2,0,1,"n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","Influenza"
"Other Respiratory Diseases",117,169,164,130,135,168,150,152,184,147,194,171,147,180,224,209,169,209,230,250,253,241,241,325,220,166,202,238,185,272,255,264,226,196,245,305,222,202,183,178,207,191,221,59,58,"Other Respiratory Diseases"
"Digestive System Diseases","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g",65,70,76,77,64,66,62,54,61,61,86,74,85,71,80,56,69,84,22,17,"Digestive System Diseases"
"Urinary System Diseases","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g",82,20,34,34,18,43,29,32,28,23,32,25,32,27,38,24,31,39,12,16,"Urinary System Diseases"
"Generative System Diseases","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g","n/g",4,2,1,4,3,1,4,1,0,3,3,2,0,2,2,1,0,2,2,1,"Generative System Diseases"
"Childbirth and Puerperal Septic Diseases",8,3,4,5,5,4,6,6,10,9,9,11,14,4,10,16,2,14,5,21,6,4,2,6,9,9,10,6,11,10,7,13,12,7,6,14,14,14,14,9,8,9,10,1,4,"Childbirth and Puerperal Septic Diseases"

,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
